Country Code,Series Code,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,Most_Recent
AGO,EN.CO2.TRAN.ZS,22.25201072,24.47257384,23.11015119,23.85685885,26.90909091,38.95184136,42.43243243,39.83739837,39.51515152,40.04149378,43.69178662,41.09589041,42.36615995,44.0920398,44.52097683,45.13274336,43.98963731,43.98963731
AGO,EN.ATM.GHGT.ZG,-30.56971951,-28.90792546,-31.54290913,-32.34760864,-32.11431604,-29.4224462,-27.4498294,-29.42692712,-28.40327235,-27.78384032,-26.39472789,-24.59737841,-21.21213139,-19.5405753,-18.00826697,,,-18.00826697
AGO,EN.ATM.GHGT.KT.CE,35275.1251,36119.4252,34780.6811,34371.8411,34490.369,35858.015,36860.2334,35855.7384,36375.822,36690.534,37396.294,38309.46513,40029.3921,40878.65196,41657.16485,,,41657.16485
ATG,EN.ATM.CO2E.KT,319.029,330.03,344.698,348.365,370.367,403.37,421.705,429.039,443.707,469.376,480.377,509.713,524.381,513.38,524.381,524.381,531.715,531.715
ATG,EN.ATM.CO2E.PC,3.995303753,4.033068153,4.123971095,4.09566526,4.293313704,4.620874526,4.778147909,4.806998084,4.913644367,5.136472571,5.194500314,5.446757355,5.539567509,5.363407474,5.418446532,5.360453467,5.377648546,5.377648546
ATG,EN.ATM.CO2E.KD.GD,0.35247097,0.351588606,0.344182934,0.365975139,0.385145085,0.395505578,0.391050639,0.373877009,0.343000306,0.332093376,0.339979261,0.410434909,0.45500657,0.454919328,0.448925535,0.44939263,0.433557972,0.433557972
ATG,EN.CO2.ETOT.ZS,,,,,,,,,,,,,,,,,,
ATG,EN.ATM.CO2E.GF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,EN.ATM.CO2E.LF.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ATG,EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,
ATG,EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,
ATG,EN.CO2.BLDG.ZS,,,,,,,,,,,,,,,,,,
ATG,EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,EN.CO2.TRAN.ZS,,,,,,,,,,,,,,,,,,
ATG,EN.ATM.GHGT.ZG,1.916235121,8.544741612,7.093031555,7.246388728,9.171472917,12.50381875,20.60629711,21.96764267,24.51811511,28.41783065,32.12827002,,,44.45971162,48.47329374,,,48.47329374
ATG,EN.ATM.GHGT.KT.CE,379.421679,404.098798,398.694259,399.265189,406.432042,418.837958,449.002494,454.070617,463.565714,478.083878,491.89739,,,537.8058389,552.7479143,,,552.7479143
ARG,EN.ATM.CO2E.KT,139815.376,146984.361,142136.587,133720.822,124714.67,135062.944,157589.325,162110.736,175436.614,175176.257,189107.19,179961.692,187919.082,191633.753,192356.152,189851.591,204024.546,204024.546
ARG,EN.ATM.CO2E.PC,3.857870916,4.010698763,3.835573665,3.568599866,3.291547735,3.52558427,4.06905838,4.141236814,4.434821452,4.382668884,4.682912395,4.410889894,4.558499612,4.600290699,4.569383676,4.462903755,4.746797455,4.746797455
ARG,EN.ATM.CO2E.KD.GD,0.441962888,0.480905222,0.46874259,0.461328024,0.482862808,0.480469364,0.514176202,0.485916781,0.486695169,0.445815394,0.462504098,0.467825073,0.443595179,0.426742488,0.432793453,0.417125085,0.459818105,0.459818105
ARG,EN.CO2.ETOT.ZS,29.14450355,31.87365398,32.2997416,30.26703928,30.09620919,30.83097623,31.93885211,31.78745901,31.69932581,33.81651265,34.45230682,36.18759993,35.88533272,36.89148913,38.49884153,37.4025112,38.03856348,38.03856348
